HQ207532_India,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ207534_India,0.8409669211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ207537_India,0.8638676845,0.9541984733,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ207536_India,0.8409669211,0.951653944,0.9491094148,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ207538_India,0.8322663252,0.9295774648,0.9383033419,0.9406451613,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ207542_India,0.8194622279,0.9082802548,0.9104859335,0.8904458599,0.9061696658,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ207539_India,0.8282442748,0.9185750636,0.9182630907,0.9007633588,0.9102564103,0.895006402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ207535_India,0.8025477707,0.9095541401,0.876433121,0.8788265306,0.868286445,0.8305732484,0.8547557841,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_4B_1,0.8314176245,0.8263090677,0.8122605364,0.8135376756,0.7892720307,0.7544529262,0.7879948914,0.8167938931,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CW_G4_4,0.8339719029,0.8263090677,0.8148148148,0.8148148148,0.7918263091,0.7582697201,0.785440613,0.8142493639,0.9783715013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CW_G5_5,0.8326947637,0.8250319285,0.8135376756,0.8135376756,0.7905491699,0.7569974555,0.7841634738,0.8129770992,0.9770992366,0.9987277354,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WX_Fl1,0.8288633461,0.8314176245,0.8173690932,0.8186462324,0.7969348659,0.7656050955,0.7867177522,0.8066157761,0.9491094148,0.9478371501,0.9465648855,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CW_G4_1,0.8263090677,0.8314176245,0.8148148148,0.816091954,0.7969348659,0.7707006369,0.7918263091,0.81043257,0.9223918575,0.9262086514,0.9249363868,0.9465648855,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB_G4_3,0.8275862069,0.8326947637,0.8135376756,0.8173690932,0.7982120051,0.774522293,0.7931034483,0.8117048346,0.9262086514,0.9325699746,0.9312977099,0.9503816794,0.9936386768,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB_G4_1,0.8263090677,0.8314176245,0.8122605364,0.8186462324,0.7969348659,0.7732484076,0.7918263091,0.81043257,0.9249363868,0.9312977099,0.9300254453,0.9491094148,0.9923664122,0.9987277354,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ_G2_2,0.8212005109,0.8263090677,0.8045977011,0.809706258,0.7956577267,0.7569974555,0.7841634738,0.8117048346,0.9262086514,0.927480916,0.9262086514,0.9554707379,0.9796437659,0.9834605598,0.9821882952,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
